id   user_id  latitude          longitude         height            download_speed  upload_speed  ping  timestamp                   color
---  -------  ----------------  ----------------  ----------------  --------------  ------------  ----  --------------------------  -----
61            51.1091320742608  17.0603161454769  125.558365841396  1.0             1.0           67    2025-05-30 10:23:13.545185  red  
62            51.1088510933734  17.0606137762884  125.789764725603  3.0             6.0           28    2025-05-30 10:27:08.882110  red  
63            51.1089680595385  17.0605120249571  125.946705664508  7.0             9.0           47    2025-05-30 10:27:32.975285  red  
64            51.1090804343576  17.0604707495479  129.280001831055  4.0             4.0           20    2025-05-30 10:29:11.692440  red  
65            51.1089658005544  17.0603629817627  129.280001831055  9.0             13.0          18    2025-05-30 10:29:36.599411  red  
66            51.1089471385964  17.0603563693096  129.280001831055  27.0            22.0          25    2025-05-30 10:29:46.370447  green
67            51.1093485269801  17.0603604567844  124.87548475605   5.0             7.0           55    2025-05-30 10:30:50.581669  red  
68            51.1092992237785  17.0604371378205  125.356330871582  34.0            31.0          23    2025-05-30 10:31:09.789482  green
69            51.1090747170493  17.0604850164126  125.890754782595  22.0            28.0          18    2025-05-30 10:31:23.979909  green
70            51.1089808286419  17.0606970656773  125.554626038298  57.0            31.0          17    2025-05-30 10:31:35.711090  green
71            51.109046079582   17.060588334752   127.450508184731  63.0            32.0          17    2025-05-30 10:31:45.968268  green
72            51.1090906596837  17.0609302811057  125.381190835498  22.0            16.0          18    2025-05-30 10:31:56.784521  green
73            51.1089782004491  17.0611301374334  125.722410288639  31.0            32.0          17    2025-05-30 10:32:20.268411  green
74            51.1091179827813  17.0612816483112  124.425210436806  42.0            26.0          53    2025-05-30 10:32:36.206091  green
75            51.1093785048832  17.0608631805669  127.278206464835  26.0            13.0          18    2025-05-30 10:32:59.558635  green
76            51.109125855746   17.0605382190186  124.998362183571  15.0            19.0          18    2025-05-30 10:33:19.963664  green
77            51.1088995692944  17.0604197513313  125.601052930579  22.0            18.0          22    2025-05-30 10:33:57.771811  green
78            51.1088386037707  17.0602921356457  126.003795577213  40.0            26.0          20    2025-05-30 10:34:08.319965  green
79            51.1086703226095  17.0602246602744  125.54192179814   42.0            24.0          17    2025-05-30 10:34:16.377936  green
80            51.1088764233756  17.0601157698566  124.958715312183  11.0            4.0           42    2025-05-30 10:34:49.419550  green
81            51.1094415004016  17.059860495313   124.329088027103  42.0            24.0          30    2025-06-04 13:47:10.564799  green
82            51.1094407828966  17.0598620129182  124.446603737686  29.0            22.0          25    2025-06-04 13:47:22.370103  green
83            51.1094400901298  17.0598634584038  124.446603737686  27.0            20.0          20    2025-06-04 13:47:44.252411  green
84            51.1094132592976  17.0599005382832  134.422650724205  34.0            24.0          40    2025-06-04 13:49:43.117958  green
85            51.1094248438057  17.0598874871458  124.516261841985  29.0            13.0          56    2025-06-04 13:50:03.616657  green
86            51.1094248531033  17.0598883733256  124.517364289494  20.0            10.0          55    2025-06-04 13:50:44.387367  green
87            51.109438738601   17.059866278403   124.446607552384  18.0            16.0          55    2025-06-04 13:50:45.520528  green
88            51.1094159803826  17.0598935560028  134.422650724205  53.0            25.0          46    2025-06-04 13:51:02.100794  green
89            51.1094661360441  17.0598828184228  124.706849712824  52.0            31.0          17    2025-06-04 13:51:07.263403  green
90            51.1094158324864  17.0598940419452  134.422650724205  36.0            16.0          53    2025-06-04 13:51:14.736911  green
91            51.1094246621626  17.0598892191318  124.512378480168  13.0            10.0          55    2025-06-04 13:51:21.716438  green
92            51.1094157720657  17.0598942952669  134.422650724205  10.0            19.0          60    2025-06-04 13:51:23.929160  green
93            51.1094792259926  17.0599026323697  125.269492666955  6.0             7.0           183   2025-06-04 13:52:18.789528  red  
94            51.1094792881642  17.0599038629698  125.269492666955  21.0            10.0          20    2025-06-04 13:52:35.251744  green
95            51.1093693988075  17.0598667265548  123.868781020703  21.0            10.0          20    2025-06-04 13:52:43.157261  green
96            51.109367484939   17.0598652779582  126.254316711426  21.0            12.0          30    2025-06-04 13:52:49.788369  green
97            51.1093946942634  17.0598576094458  140.752650724205  67.0            29.0          18    2025-06-04 13:52:49.808453  green
98            51.1094521788831  17.0596513009698  124.219263568596  18.0            13.0          20    2025-06-04 13:53:03.919215  green
99            51.1094137602577  17.0598126154695  142.712650724205  89.0            31.0          18    2025-06-04 13:53:12.362774  green
100           51.1094400653446  17.0598275735237  142.712650724205  78.0            34.0          18    2025-06-04 13:53:36.268712  green
101           51.1094721281124  17.0595040182973  124.103271820398  8.0             7.0           37    2025-06-04 13:53:49.379046  red  
102           51.1094269452953  17.059850401881   142.712650724205  74.0            32.0          18    2025-06-04 13:53:59.220930  green
103           51.109433443981   17.0595885865547  124.437896156933  6.0             9.0           20    2025-06-04 13:54:10.449563  red  
104           51.1094249567919  17.0598538617969  142.712650724205  79.0            34.0          18    2025-06-04 13:54:23.035560  green
105           51.1094334439796  17.0595885865585  124.437896156933  31.0            14.0          28    2025-06-04 13:54:27.524675  green
106           51.1094694842429  17.0595351095927  123.69279548673   21.0            14.0          22    2025-06-04 13:54:43.624998  green
107           51.1094246418783  17.0598544097338  142.712650724205  87.0            31.0          18    2025-06-04 13:54:45.706473  green
108           51.1095085864237  17.0594885026545  124.074940207261  11.0            10.0          30    2025-06-04 13:55:05.499198  green
109           51.1094246478098  17.0598543583693  142.712650724205  80.0            29.0          18    2025-06-04 13:55:09.776351  green
110           51.1095958180851  17.0594671280474  124.400029758974  11.0            8.0           63    2025-06-04 13:55:29.054930  green
111           51.1094246040972  17.0598544654626  142.712650724205  53.0            34.0          18    2025-06-04 13:55:39.210666  green
112           51.1095679673186  17.0594711936879  124.367192254362  21.0            13.0          26    2025-06-04 13:55:45.526735  green
113           51.1094155245095  17.0597353672085  142.712650724205  83.0            33.0          18    2025-06-04 13:56:04.664173  green
114           51.109443621763   17.0598264643537  124.5173566601    18.0            10.0          20    2025-06-04 13:56:05.561859  green
115           51.1094436579037  17.0596959060601  142.712650724205  97.0            35.0          18    2025-06-04 13:56:28.339311  green
116           51.1094103344324  17.0595238262836  142.712650724205  86.0            31.0          18    2025-06-04 13:56:50.556904  green
117           51.1095732717831  17.0594889967023  124.245913997757  14.0            9.0           20    2025-06-04 13:57:11.621747  green
118           51.1093991339369  17.059505512621   142.712650724205  81.0            31.0          18    2025-06-04 13:57:15.062087  green
119           51.1095833546622  17.059460397713   124.245913997757  6.0             11.0          556   2025-06-04 13:57:41.965351  red  
120           51.1095559946228  17.0594624071876  142.712650724205  60.0            31.0          10    2025-06-04 13:57:45.969329  green
121           51.109583363791   17.059472769857   142.712650724205  76.0            33.0          17    2025-06-04 13:58:10.517434  green
122           51.109592931061   17.0594654823406  142.712650724205  39.0            33.0          18    2025-06-04 13:58:25.117662  green
123           51.1095849702192  17.0594575471251  142.712650724205  84.0            31.0          18    2025-06-04 13:58:49.946767  green
124           51.1091075221084  17.0591935705507  124.51041969071   12.0            2.0           36    2025-06-04 13:58:58.608650  green
125           51.1095807691684  17.0594544763209  142.712650724205  75.0            32.0          18    2025-06-04 13:59:11.633581  green
126           51.109572211491   17.0594483729611  142.712650724205  41.0            30.0          18    2025-06-04 13:59:43.947189  green
127           51.1095699993639  17.0594468187001  142.712650724205  79.0            31.0          18    2025-06-04 14:00:04.496848  green
128           51.1091078663358  17.0592411075908  124.513463819128  13.0            2.0           25    2025-06-04 14:00:11.706919  green
129           51.109426851306   17.0598910814429  124.448083840225  34.0            25.0          28    2025-06-04 14:00:54.210384  green
130           51.1095872442976  17.05942010689    135.442650724205  88.0            26.0          18    2025-06-04 14:01:08.076597  green
131           51.1094263941928  17.0598920923415  124.446599922989  38.0            20.0          23    2025-06-04 14:01:10.102370  green
132           51.1095874350175  17.0594197954072  135.442650724205  81.0            33.0          18    2025-06-04 14:01:29.510005  green
133           51.1091645928464  17.0593842459604  124.510141217809  26.0            4.0           20    2025-06-04 14:01:38.066037  green
134           51.1095875048785  17.0594195974288  135.442650724205  67.0            34.0          18    2025-06-04 14:01:52.498252  green
135           51.1091722708824  17.0594087871618  124.510129773717  33.0            3.0           20    2025-06-04 14:02:05.795171  green
136           51.10958759199    17.0594192608057  135.442650724205  85.0            32.0          18    2025-06-04 14:02:13.294617  green
137           51.1095875949714  17.0594192036491  135.442650724205  80.0            32.0          18    2025-06-04 14:02:34.966144  green
138           51.1090239408729  17.0598691985413  124.994858398437  6.0             2.0           42    2025-06-04 14:02:49.621527  red  
139           51.1095368303303  17.0594641542998  134.872650724205  73.0            31.0          18    2025-06-04 14:02:59.002302  green
140           51.1090132872889  17.0599519967781  125.305655306312  41.0            4.0           20    2025-06-04 14:03:08.896177  green
141           51.1095271813538  17.0594771322342  134.872650724205  83.0            33.0          10    2025-06-04 14:03:20.726170  green
142           51.1090614738244  17.0599119534369  125.127447830239  24.0            4.0           20    2025-06-04 14:03:34.376385  green
143           51.1095273960973  17.0594774870277  134.872650724205  81.0            31.0          18    2025-06-04 14:03:45.156393  green
144           51.109025473421   17.0600658312541  125.326696331583  7.0             3.0           20    2025-06-04 14:04:38.928278  red  
145           51.1089528957834  17.0602280080536  125.373897094727  30.0            3.0           20    2025-06-04 14:05:06.703378  green
146           51.1089477926872  17.0602555683165  125.4383702456    24.0            3.0           28    2025-06-04 14:05:36.925275  green
147           51.1089275707786  17.0603196761239  125.438351172114  25.0            6.0           73    2025-06-04 14:05:59.639312  green
148           51.1095297533654  17.0594797234905  134.872650724205  91.0            30.0          18    2025-06-04 14:06:08.930209  green
149           51.1095301654221  17.0594799381135  134.872650724205  71.0            28.0          18    2025-06-04 14:06:36.778006  green
150           51.1090097393326  17.0603858042809  125.331458134359  11.0            2.0           72    2025-06-04 14:06:38.941125  green
151           51.1094185968431  17.0598843025137  134.872650724205  61.0            34.0          18    2025-06-04 14:07:03.080626  green
152           51.1090155689413  17.05995690476    125.332393832456  38.0            2.0           25    2025-06-04 14:07:11.828908  green
153           51.1090263509237  17.0598992554243  125.188820424708  18.0            2.0           18    2025-06-04 14:07:47.659035  green
154           51.1094153626183  17.0598964078063  134.872650724205  83.0            31.0          18    2025-06-04 14:07:53.005526  green
155           51.1090440435457  17.0599759899242  125.122150082485  35.0            4.0           20    2025-06-04 14:08:17.242346  green
156           51.1094152539604  17.0598970040371  134.872650724205  88.0            35.0          18    2025-06-04 14:08:17.291390  green
157           51.1094151877385  17.059897386846   134.872650724205  85.0            34.0          18    2025-06-04 14:08:38.349167  green
158           51.1094150531044  17.0598980019829  134.872650724205  85.0            34.0          18    2025-06-04 14:09:05.217956  green
159           51.1094149815683  17.0598983716622  134.872650724205  72.0            31.0          18    2025-06-04 14:09:32.069619  green
160           51.1095343521438  17.0597707909447  132.742650724205  84.0            33.0          18    2025-06-04 14:10:35.671542  green
161           51.1094677275058  17.0598230292198  132.062650724205  87.0            33.0          18    2025-06-04 14:10:58.031127  green
162           51.1094666044571  17.0598239360285  132.062650724205  86.0            33.0          18    2025-06-04 14:11:19.710996  green
163           51.1090837319126  17.0591395557146  125.427867368127  31.0            14.0          23    2025-06-04 14:11:43.832874  green
164           51.109466550612   17.0598239795059  132.062650724205  77.0            32.0          18    2025-06-04 14:11:45.002346  green
165           51.1095288971751  17.0595008953895  124.320166545408  81.0            36.0          18    2025-06-04 14:12:03.082536  green
166           51.1094665500209  17.0598239799831  132.062650724205  63.0            30.0          18    2025-06-04 14:12:13.115977  green
167           51.10921335999    17.0590273749579  124.61957245562   19.0            14.0          23    2025-06-04 14:12:37.791347  green
168           51.1094665735279  17.0598239160787  132.062650724205  46.0            30.0          18    2025-06-04 14:12:46.422594  green
169           51.1092159668155  17.0590255238789  124.619568640923  22.0            15.0          28    2025-06-04 14:12:52.637449  green
170           51.1095298438128  17.0595904645007  132.062650724205  76.0            33.0          18    2025-06-04 14:13:41.154446  green
171           51.1095716708032  17.0594666108782  132.062650724205  80.0            35.0          10    2025-06-04 14:14:02.581628  green
172           51.1095296796025  17.0594993400073  124.320166545408  85.0            35.0          18    2025-06-04 14:14:33.498812  green
173           51.1095738274435  17.0594999429164  132.062650724205  75.0            28.0          18    2025-06-04 14:15:38.173567  green
174           51.1095819437402  17.0594308670722  132.062650724205  88.0            29.0          18    2025-06-04 14:16:01.053697  green
175           51.1095846517294  17.0594167763658  132.062650724205  79.0            28.0          18    2025-06-04 14:16:30.646099  green
176           51.1095301174163  17.0594984696408  124.320162730711  72.0            35.0          18    2025-06-04 14:18:01.468520  green
177           51.1095303333553  17.0594980508442  124.320162730711  65.0            34.0          23    2025-06-04 14:20:19.953623  green
