id  user_id  latitude          longitude         height            download_speed  upload_speed  ping  timestamp                   color
--  -------  ----------------  ----------------  ----------------  --------------  ------------  ----  --------------------------  -----
61           51.1091320742608  17.0603161454769  125.558365841396  1.0             1.0           67    2025-05-30 10:23:13.545185  red  
62           51.1088510933734  17.0606137762884  125.789764725603  3.0             6.0           28    2025-05-30 10:27:08.882110  red  
63           51.1089680595385  17.0605120249571  125.946705664508  7.0             9.0           47    2025-05-30 10:27:32.975285  red  
64           51.1090804343576  17.0604707495479  129.280001831055  4.0             4.0           20    2025-05-30 10:29:11.692440  red  
65           51.1089658005544  17.0603629817627  129.280001831055  9.0             13.0          18    2025-05-30 10:29:36.599411  red  
66           51.1089471385964  17.0603563693096  129.280001831055  27.0            22.0          25    2025-05-30 10:29:46.370447  green
67           51.1093485269801  17.0603604567844  124.87548475605   5.0             7.0           55    2025-05-30 10:30:50.581669  red  
68           51.1092992237785  17.0604371378205  125.356330871582  34.0            31.0          23    2025-05-30 10:31:09.789482  green
69           51.1090747170493  17.0604850164126  125.890754782595  22.0            28.0          18    2025-05-30 10:31:23.979909  green
70           51.1089808286419  17.0606970656773  125.554626038298  57.0            31.0          17    2025-05-30 10:31:35.711090  green
71           51.109046079582   17.060588334752   127.450508184731  63.0            32.0          17    2025-05-30 10:31:45.968268  green
72           51.1090906596837  17.0609302811057  125.381190835498  22.0            16.0          18    2025-05-30 10:31:56.784521  green
73           51.1089782004491  17.0611301374334  125.722410288639  31.0            32.0          17    2025-05-30 10:32:20.268411  green
74           51.1091179827813  17.0612816483112  124.425210436806  42.0            26.0          53    2025-05-30 10:32:36.206091  green
75           51.1093785048832  17.0608631805669  127.278206464835  26.0            13.0          18    2025-05-30 10:32:59.558635  green
76           51.109125855746   17.0605382190186  124.998362183571  15.0            19.0          18    2025-05-30 10:33:19.963664  green
77           51.1088995692944  17.0604197513313  125.601052930579  22.0            18.0          22    2025-05-30 10:33:57.771811  green
78           51.1088386037707  17.0602921356457  126.003795577213  40.0            26.0          20    2025-05-30 10:34:08.319965  green
79           51.1086703226095  17.0602246602744  125.54192179814   42.0            24.0          17    2025-05-30 10:34:16.377936  green
80           51.1088764233756  17.0601157698566  124.958715312183  11.0            4.0           42    2025-05-30 10:34:49.419550  green
